loc1,loc2,loc3,loc4,loc5,loc6,loc7,loc8,loc9,loc10,loc11,loc12,loc13,loc14,corrAns,loc15,loc16,loc17,loc18,loc19,loc20,loc21,loc22,loc23,loc24,loc25,loc26,loc27,loc28,loc29,loc30,loc31,loc32,loc33,loc34,loc35,loc36,loc37,loc38,trials1.thisRepN,trials1.thisTrialN,trials1.thisN,trials1.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,trials3.thisRepN,trials3.thisTrialN,trials3.thisN,trials3.thisIndex,instr1.started,instr1.stopped,keyResp1.keys,keyResp1.rt,keyResp1.started,keyResp1.stopped,l1ex.started,l1ex.stopped,l2ex.started,l2ex.stopped,t1ex.started,t1ex.stopped,tTex.started,tTex.stopped,trial1Fix.started,trial1Fix.stopped,trial1L11.started,trial1L11.stopped,trial1L12.started,trial1L12.stopped,trial1L21.started,trial1L21.stopped,trial1L22.started,trial1L22.stopped,trial1T11.started,trial1T11.stopped,trial1T12.started,trial1T12.stopped,trial1TT.started,trial1TT.stopped,trial1Resp.keys,trial1Resp.corr,trial1Resp.started,trial1Resp.stopped,breakText1.started,breakText1.stopped,breakResp1.keys,breakResp1.rt,breakResp1.started,breakResp1.stopped,trial2Fix.started,trial2Fix.stopped,trial2L11.started,trial2L11.stopped,trial2L12.started,trial2L12.stopped,trial2L21.started,trial2L21.stopped,trial2L22.started,trial2L22.stopped,trial2T11.started,trial2T11.stopped,trial2T12.started,trial2T12.stopped,trial2L13.started,trial2L13.stopped,trial2L14.started,trial2L14.stopped,trial2L23.started,trial2L23.stopped,trial2L24.started,trial2L24.stopped,trial2T13.started,trial2T13.stopped,trial2T14.started,trial2T14.stopped,trial2TT.started,trial2TT.stopped,trial2Resp.keys,trial2Resp.corr,trial2Resp.started,trial2Resp.stopped,breakText2.started,breakText2.stopped,breakResp2.keys,breakResp2.rt,breakResp2.started,breakResp2.stopped,trial3Fix.started,trial3Fix.stopped,trial3L11.started,trial3L11.stopped,trial3L12.started,trial3L12.stopped,trial3L21.started,trial3L21.stopped,trial3L22.started,trial3L22.stopped,trial3T11.started,trial3T11.stopped,trial3T12.started,trial3T12.stopped,trial3L13.started,trial3L13.stopped,trial3L14.started,trial3L14.stopped,trial3L23.started,trial3L23.stopped,trial3L24.started,trial3L24.stopped,trial3T13.started,trial3T13.stopped,trial3T14.started,trial3T14.stopped,trial3L15.started,trial3L15.stopped,trial3L16.started,trial3L16.stopped,trial3L25.started,trial3L25.stopped,trial3L26.started,trial3L26.stopped,trial3T15.started,trial3T15.stopped,trial3T16.started,trial3T16.stopped,trial3TT.started,trial3TT.stopped,trial3Resp.keys,trial3Resp.corr,trial3Resp.started,trial3Resp.stopped,thanks.started,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.57166770007461,None,space,1.1376801999285817,33.57166770007461,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_02_1611,vSearchAlpha4,2020.1.3,60.43555908413729,
0.4,0.0,-0.2,0.2,0.0,0.0,-0.4,-0.2,0.4,0.2,0.0,0.2,None,None,m,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,33.57166770007461,None,33.57166770007461,None,33.57166770007461,None,33.57166770007461,None,34.923045499948785,35.94497890002094,35.91577639989555,None,35.91577639989555,None,35.91577639989555,None,35.91577639989555,None,35.91577639989555,None,35.91577639989555,None,35.91577639989555,None,None,0,35.91577639989555,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_02_1611,vSearchAlpha4,2020.1.3,60.43555908413729,
0.4,-0.2,0.4,0.0,0.2,0.2,None,None,0.0,0.4,-0.2,0.2,0.4,0.2,b,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,38.756170799955726,39.765270499978215,39.74603500007652,None,39.74603500007652,None,39.74603500007652,None,39.74603500007652,None,39.74603500007652,None,39.74603500007652,None,39.74603500007652,None,None,0,39.74603500007652,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_02_1611,vSearchAlpha4,2020.1.3,60.43555908413729,
0.0,0.2,0.4,-0.2,-0.4,-0.2,0.0,-0.4,0.2,0.2,None,None,0.2,-0.2,b,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,42.748068100074306,43.76377439987846,43.74480800004676,None,43.74480800004676,None,43.74480800004676,None,43.74480800004676,None,43.74480800004676,None,43.74480800004676,None,43.74480800004676,None,None,0,43.74480800004676,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_02_1611,vSearchAlpha4,2020.1.3,60.43555908413729,
-0.2,0.2,0.4,-0.2,0.0,-0.2,0.0,0.2,-0.4,-0.2,0.0,0.0,None,None,m,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,46.74646020005457,47.76359899993986,47.74427850008942,None,47.74427850008942,None,47.74427850008942,None,47.74427850008942,None,47.74427850008942,None,47.74427850008942,None,47.74427850008942,None,None,0,47.74427850008942,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_02_1611,vSearchAlpha4,2020.1.3,60.43555908413729,
0.4,-0.2,None,None,-0.4,0.0,0.4,0.2,0.0,0.2,0.2,-0.2,0.0,0.0,b,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,50.746528999879956,51.76091620000079,51.74300440005027,None,51.74300440005027,None,51.74300440005027,None,51.74300440005027,None,51.74300440005027,None,51.74300440005027,None,51.74300440005027,None,None,0,51.74300440005027,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_02_1611,vSearchAlpha4,2020.1.3,60.43555908413729,
0.4,0.2,0.4,0.0,0.2,0.2,0.0,0.2,-0.4,-0.2,0.4,-0.2,None,None,m,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,54.75896140001714,55.76070569991134,55.74182299990207,None,55.74182299990207,None,55.74182299990207,None,55.74182299990207,None,55.74182299990207,None,55.74182299990207,None,55.74182299990207,None,None,0,55.74182299990207,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_02_1611,vSearchAlpha4,2020.1.3,60.43555908413729,
None,None,-0.2,0.2,0.0,0.2,0.4,0.2,0.2,0.2,0.0,0.0,-0.2,0.0,b,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,58.74343589995988,59.759707799879834,59.740804200060666,None,59.740804200060666,None,59.740804200060666,None,59.740804200060666,None,59.740804200060666,None,59.740804200060666,None,59.740804200060666,None,None,0,59.740804200060666,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_02_1611,vSearchAlpha4,2020.1.3,60.43555908413729,
-0.4,-0.2,0.2,0.2,0.0,0.0,0.4,-0.2,None,None,-0.2,0.2,0.4,0.2,b,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,62.743505799910054,63.75937670003623,63.74010609998368,None,63.74010609998368,None,63.74010609998368,None,63.74010609998368,None,63.74010609998368,None,63.74010609998368,None,63.74010609998368,None,None,0,63.74010609998368,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_02_1611,vSearchAlpha4,2020.1.3,60.43555908413729,
0.2,0.2,-0.4,0.4,0.0,-0.2,None,None,0.0,0.4,0.4,-0.2,-0.4,0.0,b,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,66.7411261999514,67.73880299995653,67.73880299995653,None,67.73880299995653,None,67.73880299995653,None,67.73880299995653,None,67.73880299995653,None,67.73880299995653,None,67.73880299995653,None,None,0,67.73880299995653,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_02_1611,vSearchAlpha4,2020.1.3,60.43555908413729,
0.0,0.0,0.0,-0.2,0.2,0.2,-0.4,-0.2,0.4,0.2,0.0,0.2,None,None,m,,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,70.74097989988513,71.73910079989582,71.73910079989582,None,71.73910079989582,None,71.73910079989582,None,71.73910079989582,None,71.73910079989582,None,71.73910079989582,None,71.73910079989582,None,None,0,71.73910079989582,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_02_1611,vSearchAlpha4,2020.1.3,60.43555908413729,
0.4,0.2,-0.4,-0.2,0.4,0.0,0.0,-0.4,0.0,0.4,-0.2,0.2,None,None,m,,,,,,,,,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,74.74191850004718,75.75931459991261,75.73882930004038,None,75.73882930004038,None,75.73882930004038,None,75.73882930004038,None,75.73882930004038,None,75.73882930004038,None,75.73882930004038,None,None,0,75.73882930004038,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_02_1611,vSearchAlpha4,2020.1.3,60.43555908413729,
0.0,0.0,None,None,0.4,-0.2,-0.2,0.2,0.2,0.2,0.4,0.0,-0.4,-0.2,b,,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,78.73885550000705,79.7381170000881,79.72163669997826,None,79.72163669997826,None,79.72163669997826,None,79.72163669997826,None,79.72163669997826,None,79.72163669997826,None,79.72163669997826,None,None,0,79.72163669997826,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_02_1611,vSearchAlpha4,2020.1.3,60.43555908413729,
0.2,0.2,0.0,0.0,0.0,0.2,None,None,-0.4,-0.2,0.4,-0.2,-0.4,0.0,b,,,,,,,,,,,,,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,82.73805369995534,83.76897399988957,83.7206162000075,None,83.7206162000075,None,83.7206162000075,None,83.7206162000075,None,83.7206162000075,None,83.7206162000075,None,83.7206162000075,None,None,0,83.7206162000075,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_02_1611,vSearchAlpha4,2020.1.3,60.43555908413729,
-0.4,-0.2,0.0,0.2,-0.2,0.2,0.0,0.0,0.0,-0.2,0.4,-0.2,None,None,m,,,,,,,,,,,,,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,86.7385511000175,87.75508849998005,87.73574299993925,None,87.73574299993925,None,87.73574299993925,None,87.73574299993925,None,87.73574299993925,None,87.73574299993925,None,87.73574299993925,None,None,0,87.73574299993925,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_02_1611,vSearchAlpha4,2020.1.3,60.43555908413729,
0.0,0.2,0.4,0.4,0.4,-0.2,0.2,-0.2,-0.4,-0.4,None,None,0.2,0.2,b,,,,,,,,,,,,,,,,,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,90.75549710006453,91.76860209996812,91.75229380000383,None,91.75229380000383,None,91.75229380000383,None,91.75229380000383,None,91.75229380000383,None,91.75229380000383,None,91.75229380000383,None,None,0,91.75229380000383,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_02_1611,vSearchAlpha4,2020.1.3,60.43555908413729,
-0.4,-0.2,0.4,-0.2,0.4,0.2,0.4,0.0,0.2,0.2,0.0,0.2,None,None,m,,,,,,,,,,,,,,,,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,94.75410580006428,95.76763739995658,95.73412939999253,None,95.73412939999253,None,95.73412939999253,None,95.73412939999253,None,95.73412939999253,None,95.73412939999253,None,95.73412939999253,None,None,0,95.73412939999253,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_02_1611,vSearchAlpha4,2020.1.3,60.43555908413729,
0.2,0.2,0.0,0.0,None,None,-0.2,0.2,0.0,0.2,0.4,0.2,-0.2,0.0,b,,,,,,,,,,,,,,,,,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,98.75321700004861,99.76639880007133,99.74822840001434,None,99.74822840001434,None,99.74822840001434,None,99.74822840001434,None,99.74822840001434,None,99.74822840001434,None,99.74822840001434,None,None,0,99.74822840001434,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_02_1611,vSearchAlpha4,2020.1.3,60.43555908413729,
None,None,-0.2,0.2,-0.4,-0.2,0.2,0.2,0.2,0.4,0.4,-0.2,0.4,0.0,b,,,,,,,,,,,,,,,,,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,102.74965170002542,103.76675849989988,103.73199629993178,None,103.73199629993178,None,103.73199629993178,None,103.73199629993178,None,103.73199629993178,None,103.73199629993178,None,103.73199629993178,None,None,0,103.73199629993178,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_02_1611,vSearchAlpha4,2020.1.3,60.43555908413729,
0.0,0.2,0.4,-0.2,0.2,0.2,0.0,0.0,0.0,-0.2,None,None,-0.2,0.0,b,,,,,,,,,,,,,,,,,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,106.74786229990423,107.7645825999789,107.74592479993589,None,107.74592479993589,None,107.74592479993589,None,107.74592479993589,None,107.74592479993589,None,107.74592479993589,None,107.74592479993589,None,None,0,107.74592479993589,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_02_1611,vSearchAlpha4,2020.1.3,60.43555908413729,
0.4,0.2,0.0,0.2,0.0,0.0,0.0,-0.2,0.2,0.2,-0.4,-0.2,None,None,m,,,,,,,,,,,,,,,,,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,110.74682100000791,111.76368470001034,111.74466650001705,None,111.74466650001705,None,111.74466650001705,None,111.74466650001705,None,111.74466650001705,None,111.74466650001705,None,111.74466650001705,None,None,0,111.74466650001705,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_02_1611,vSearchAlpha4,2020.1.3,60.43555908413729,
-0.4,0.0,None,None,-0.2,0.0,-0.4,0.2,-0.2,0.4,0.4,0.4,0.0,0.0,b,,,,,,,,,,,,,,,,,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,114.74746800004505,115.76196080003865,115.743442799896,None,115.743442799896,None,115.743442799896,None,115.743442799896,None,115.743442799896,None,115.743442799896,None,115.743442799896,None,None,0,115.743442799896,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_02_1611,vSearchAlpha4,2020.1.3,60.43555908413729,
0.2,-0.2,0.0,0.0,0.0,-0.2,-0.4,0.2,-0.4,0.4,0.4,-0.4,None,None,m,,,,,,,,,,,,,,,,,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,118.74801689991727,119.76094199996442,119.74255280010402,None,119.74255280010402,None,119.74255280010402,None,119.74255280010402,None,119.74255280010402,None,119.74255280010402,None,119.74255280010402,None,None,0,119.74255280010402,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_02_1611,vSearchAlpha4,2020.1.3,60.43555908413729,
0.0,-0.4,0.2,0.2,-0.2,-0.4,0.4,0.0,None,None,0.2,0.4,0.0,-0.2,b,,,,,,,,,,,,,,,,,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,122.74431909993291,123.7606726998929,123.741464599967,None,123.741464599967,None,123.741464599967,None,123.741464599967,None,123.741464599967,None,123.741464599967,None,123.741464599967,None,None,0,123.741464599967,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_02_1611,vSearchAlpha4,2020.1.3,60.43555908413729,
0.2,0.0,-0.4,-0.2,0.2,-0.4,0.2,-0.2,-0.4,0.4,0.2,0.4,None,None,m,,,,,,,,,,,,,,,,,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,126.74256810010411,127.76021210011095,127.74057630007155,None,127.74057630007155,None,127.74057630007155,None,127.74057630007155,None,127.74057630007155,None,127.74057630007155,None,127.74057630007155,None,None,0,127.74057630007155,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_02_1611,vSearchAlpha4,2020.1.3,60.43555908413729,
-0.2,-0.4,0.0,0.2,0.2,0.4,None,None,0.0,0.4,0.4,0.4,0.4,0.2,b,,,,,,,,,,,,,,,,,,,,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,130.74265230004676,131.7592527999077,131.7398546000477,None,131.7398546000477,None,131.7398546000477,None,131.7398546000477,None,131.7398546000477,None,131.7398546000477,None,131.7398546000477,None,None,0,131.7398546000477,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_02_1611,vSearchAlpha4,2020.1.3,60.43555908413729,
0.2,0.4,-0.4,0.2,0.4,0.4,-0.4,0.0,0.0,0.4,None,None,-0.2,-0.4,b,,,,,,,,,,,,,,,,,,,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,134.7422853000462,135.7592901000753,135.7389136001002,None,135.7389136001002,None,135.7389136001002,None,135.7389136001002,None,135.7389136001002,None,135.7389136001002,None,135.7389136001002,None,None,0,135.7389136001002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_02_1611,vSearchAlpha4,2020.1.3,60.43555908413729,
-0.2,-0.4,0.2,0.2,0.2,0.0,-0.2,0.0,-0.4,0.4,0.4,-0.4,None,None,m,,,,,,,,,,,,,,,,,,,,,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,138.74093590001576,139.73877909989096,139.73877909989096,None,139.73877909989096,None,139.73877909989096,None,139.73877909989096,None,139.73877909989096,None,139.73877909989096,None,139.73877909989096,None,None,0,139.73877909989096,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_02_1611,vSearchAlpha4,2020.1.3,60.43555908413729,
